Symbol,Series,Date,Prev Close,Adj. Open,Adj. High,Adj. Low,Adj. Volume,Adj. Close,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
N100,EQ,26-Mar-15,290.06,285.01,286,281,286,283.46,284.39,623,1.77,29,407,65.33
N100,EQ,27-Mar-15,283.46,290,300,278,280,280,287.86,1038,2.99,64,749,72.16
N100,EQ,30-Mar-15,280,289,292,275.5,278.51,279.98,285.01,1453,4.14,122,745,51.27
N100,EQ,31-Mar-15,279.98,288,288.9,275.5,275.55,277.81,281.9,2691,7.59,186,1828,67.93
N100,EQ,1-Apr-15,277.81,278,284.95,275,277,278.8,279.35,1332,3.72,104,929,69.74
N100,EQ,6-Apr-15,278.8,279.05,286.95,272.65,277,273.38,278.13,4020,11.18,152,3015,75
N100,EQ,7-Apr-15,273.38,277,279.8,272.05,276.96,273.71,277.45,1048,2.91,68,663,63.26
N100,EQ,8-Apr-15,273.71,277.8,277.8,270,271.22,272.19,272.14,1237,3.37,72,779,62.97
N100,EQ,9-Apr-15,272.19,280.8,280.8,271.26,272.65,272.65,273.01,513,1.4,39,306,59.65
N100,EQ,10-Apr-15,272.65,275,275,272.18,274.5,274.35,274.48,522,1.43,46,424,81.23
N100,EQ,13-Apr-15,274.35,265.15,275,265.05,272.1,273.71,272.71,3398,9.27,87,3013,88.67
N100,EQ,15-Apr-15,273.71,272.06,273.45,268.66,271,270.41,271.42,3061,8.31,139,2252,73.57
N100,EQ,16-Apr-15,270.41,274.65,274.65,265.3,265.5,268.08,269.15,1152,3.1,76,552,47.92
N100,EQ,17-Apr-15,268.08,265.06,276,265.06,275,275,272.14,2246,6.11,67,1962,87.36
N100,EQ,20-Apr-15,275,277.99,277.99,270.26,275.98,275.94,275.24,517,1.42,57,381,73.69
N100,EQ,21-Apr-15,275.94,277,279.8,272,277.81,277.81,277.49,1387,3.85,73,1077,77.65
N100,EQ,22-Apr-15,277.81,278,279.83,275.25,277,276.92,277.28,644,1.79,41,477,74.07
N100,EQ,23-Apr-15,276.92,278,279.9,274,274.38,277.62,279.52,18579,51.93,33,18475,99.44
N100,EQ,24-Apr-15,277.62,280,283.9,277.95,278,278,279.71,6104,17.07,50,5953,97.53
N100,EQ,27-Apr-15,278,278.05,287.95,278.05,283,284.06,283,1581,4.47,83,1129,71.41
N100,EQ,28-Apr-15,284.06,287,300,280.42,290,286.23,290.24,1095,3.18,97,669,61.1
N100,EQ,29-Apr-15,286.23,281.45,297.1,281.45,290,292.01,292.12,2088,6.1,59,1372,65.71
N100,EQ,30-Apr-15,292.01,292.5,292.5,285,291.5,289.14,289.6,467,1.35,43,383,82.01
N100,EQ,4-May-15,289.14,286.1,300,285,285.5,289.45,292.02,1672,4.88,138,1143,68.36
N100,EQ,5-May-15,289.45,293.85,294,282.3,289,290.47,292.21,1262,3.69,68,1012,80.19
N100,EQ,6-May-15,290.47,289.95,291,282.12,283,283.64,287.48,795,2.29,45,550,69.18
N100,EQ,7-May-15,283.64,285,292.5,282,292.5,292.13,289.41,559,1.62,40,490,87.66
N100,EQ,8-May-15,292.13,279.5,293.55,279.5,293.55,289.08,287.84,1646,4.74,98,1200,72.9
N100,EQ,11-May-15,289.08,291,291,278,282,284.03,282.7,2269,6.41,136,1340,59.06
N100,EQ,12-May-15,284.03,288.99,289.5,283.4,285,284.97,287.86,922,2.65,50,698,75.7
N100,EQ,13-May-15,284.97,290.29,290.3,278,278.02,284.06,285.41,909,2.59,72,768,84.49
N100,EQ,14-May-15,284.06,289,289,277.19,277.19,280.57,283.22,975,2.76,90,599,61.44
N100,EQ,15-May-15,280.57,285,288,279.01,287.95,286.08,282.82,995,2.81,88,697,70.05
N100,EQ,18-May-15,286.08,288,288,277.25,278,279.51,280.51,2003,5.62,148,1460,72.89
N100,EQ,19-May-15,279.51,285,285,279,279,279.42,281.17,335,0.94,39,254,75.82
N100,EQ,20-May-15,279.42,285,285,280.05,280.5,280.5,280.84,993,2.79,38,721,72.61
N100,EQ,21-May-15,280.5,281,284,280,283.95,283.6,283.5,683,1.94,34,599,87.7
N100,EQ,22-May-15,283.6,284,284,277.11,284,282.72,281.23,1925,5.41,110,1206,62.65
N100,EQ,25-May-15,282.72,283.99,285,279.83,284.5,284.57,283.48,1187,3.36,72,992,83.57
N100,EQ,26-May-15,284.57,285,287,280.01,280.71,281.88,283.4,508,1.44,36,334,65.75
N100,EQ,27-May-15,281.88,284.86,284.86,280.05,280.05,280.84,281.83,335,0.94,34,267,79.7
N100,EQ,28-May-15,280.84,283,287,276.61,279,278.49,281.2,1125,3.16,83,818,72.71
N100,EQ,29-May-15,278.49,279,285.88,278.2,284.8,284.69,283.61,561,1.59,59,349,62.21
N100,EQ,1-Jun-15,284.69,287.99,289,281,281,282.45,283.35,1943,5.51,76,1741,89.6
N100,EQ,2-Jun-15,282.45,284.9,284.94,280,281,281.08,282.01,261,0.74,31,150,57.47
N100,EQ,3-Jun-15,281.08,282.05,291.21,282,284.89,284.89,284.75,554,1.58,69,441,79.6
N100,EQ,4-Jun-15,284.89,284,293.7,279.12,286,286.01,286.86,1073,3.08,86,579,53.96
N100,EQ,5-Jun-15,286.01,286,290.97,282,289.9,289.9,287.73,748,2.15,38,641,85.7
N100,EQ,8-Jun-15,289.9,290.2,292.85,282.5,287,286.11,288.45,1374,3.96,112,1169,85.08
N100,EQ,9-Jun-15,286.11,286,288.98,283.08,283.19,283.24,284.92,655,1.87,56,437,66.72
N100,EQ,10-Jun-15,283.24,286,287.98,279,281.98,281.22,282.43,1208,3.41,110,771,63.82
N100,EQ,11-Jun-15,281.22,281.26,282.98,280,280,280.19,280.78,734,2.06,41,560,76.29
N100,EQ,12-Jun-15,280.19,284.79,284.8,278.7,281.4,279.8,280.28,2625,7.36,79,2332,88.84
